movie_name,ja_release,ja_source,ja_author,vi_release,vi_source,vi_author
"""Little Women"" Episode #1.6 (2022)",05/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9263608,Peterlin,05/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9263649,Peterlin
"""Little Women"" Episode #1.5 (2022)",05/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9263607,Peterlin,05/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9263648,Peterlin
"""Little Women"" Episode #1.4 (2022)",05/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9263606,Peterlin,05/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9263647,Peterlin
"""Little Women"" Episode #1.3 (2022)",05/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9263605,Peterlin,05/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9263646,Peterlin
"""Little Women"" Episode #1.2 (2022)",05/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9263603,Peterlin,05/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9263645,Peterlin
"""Little Women"" Episode #1.1 (2022)",05/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9263602,Peterlin,05/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9263644,Peterlin
"""See"" The Lowlands (2022)",01/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9259907,oakislandtk,01/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9259921,oakislandtk
The Greatest Beer Run Ever (2022),01/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9259832,oakislandtk,01/10/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9259845,oakislandtk
"""The Lord of the Rings: The Rings of Power"" Udûn ()",30/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9258175,LoFi123,30/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9258181,LoFi123
Lou (2022),24/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9252742,oakislandtk,29/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9257245,duckeo92
Athena (2022),24/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9252758,oakislandtk,28/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9255959,duckeo92
Where the Crawdads Sing (2022),26/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9254338,chee119,07/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9232592,thanhtu2004
"""See"" The House of Enlightenment (2022)",24/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9252999,oakislandtk,24/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9253017,oakislandtk
"""The Lord of the Rings: The Rings of Power"" Part... ()",23/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9250992,LoFi123,23/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9250982,LoFi123
"""Dahmer - Monster: The Jeffrey Dahmer Story"" Epi... (2022)",23/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9250557,oakislandtk,23/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9250926,duckeo92
"""Dahmer - Monster: The Jeffrey Dahmer Story"" Ple... (2022)",23/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9250558,oakislandtk,23/09/2022,https://www.opensubtitles.org/en/subtitleserve/sub/9250925,duckeo92
